company,company_id,ticker,industry,company_url
Arcus Biosciences,Q113503877,RCUS,pharmaceutical industry,http://www.wikidata.org/entity/Q113503877
Ares Management,Q4789079,ARES,financial services,http://www.wikidata.org/entity/Q4789079
"Argan, Inc.",Q111384689,AGX,,http://www.wikidata.org/entity/Q111384689
Arlington Asset Investment,Q4792281,AAIC,real estate investment trust,http://www.wikidata.org/entity/Q4792281
"Arlo Technologies, Inc.",Q60740820,ARLO,home automation,http://www.wikidata.org/entity/Q60740820
Armstrong World Industries,Q689446,AWI,building material,http://www.wikidata.org/entity/Q689446
Arrow Electronics,Q2059537,ARW,product distribution,http://www.wikidata.org/entity/Q2059537
Arthur J. Gallagher & Co.,Q4799191,AJG,,http://www.wikidata.org/entity/Q4799191
Artisan Partners,Q41590812,APAM,,http://www.wikidata.org/entity/Q41590812
Asana Inc.,Q111411592,ASAN,software industry,http://www.wikidata.org/entity/Q111411592
Asbury Automotive Group,Q4803735,ABG,car dealership,http://www.wikidata.org/entity/Q4803735
Ashland Inc.,Q725634,ASH,industrial manufacturing,http://www.wikidata.org/entity/Q725634
Associated Banc-Corp,Q4809155,ASB,financial services,http://www.wikidata.org/entity/Q4809155
Astoria Bank,Q4811104,,financial services,http://www.wikidata.org/entity/Q4811104
Atento,Q8208082,ATTO,telecommunications,http://www.wikidata.org/entity/Q8208082
Athene Holding,Q106238577,ATH-A,,http://www.wikidata.org/entity/Q106238577
Atlantic Power Corporation,Q4816513,AT,electricity supply company,http://www.wikidata.org/entity/Q4816513
Atlantic Union Bank,Q5453249,AUB,economics of banking,http://www.wikidata.org/entity/Q5453249
Atlas America,Q4816783,ATLS,,http://www.wikidata.org/entity/Q4816783
Atotech,Q13715273,ATC,,http://www.wikidata.org/entity/Q13715273
Atwood Oceanics,Q4818872,ATW,petroleum industry,http://www.wikidata.org/entity/Q4818872
AuRico Gold,Q4818932,AUQ,mining,http://www.wikidata.org/entity/Q4818932
Aurora Cannabis,Q47500199,ACB,cannabis industry,http://www.wikidata.org/entity/Q47500199
AutoNation,Q784804,AN,retail,http://www.wikidata.org/entity/Q784804
Autohome,Q47016300,ATHM,,http://www.wikidata.org/entity/Q47016300
Autoliv,Q787044,ALV,automotive supplier,http://www.wikidata.org/entity/Q787044
AvalonBay,Q4827537,AVB,real estate investment trust,http://www.wikidata.org/entity/Q4827537
Avangrid,Q5983823,AGR,energy industry,http://www.wikidata.org/entity/Q5983823
Avanos Medical,Q56276948,AVNS,health care,http://www.wikidata.org/entity/Q56276948
Avantor,Q104842834,AVTR,,http://www.wikidata.org/entity/Q104842834
Avaya,Q212433,AVYA,mechanical engineering,http://www.wikidata.org/entity/Q212433
Avery Dennison,Q790650,AVY,product packaging industry,http://www.wikidata.org/entity/Q790650
Avient Corporation,Q7226106,AVNT,,http://www.wikidata.org/entity/Q7226106
Avista,Q4828988,AVA,energy industry,http://www.wikidata.org/entity/Q4828988
Avnet,Q4829076,AVT,electronics,http://www.wikidata.org/entity/Q4829076
Avon Products Inc.,Q791285,AVP,cosmetics industry,http://www.wikidata.org/entity/Q791285
Axalta Coating Systems,Q26215536,AXTA,,http://www.wikidata.org/entity/Q26215536
Axiall Corporation,Q5547514,AXLL,chemical industry,http://www.wikidata.org/entity/Q5547514
Axos Financial,Q4937270,AX,bank,http://www.wikidata.org/entity/Q4937270
Azure Power,Q27704930,,,http://www.wikidata.org/entity/Q27704930
Azurix,Q4833115,AZX,"water collection, treatment and supply",http://www.wikidata.org/entity/Q4833115
Aéropostale,Q794565,ARO,retail,http://www.wikidata.org/entity/Q794565
B&G Foods,Q54953653,BGS,food industry,http://www.wikidata.org/entity/Q54953653
B2Gold,Q22671405,BTG,mining,http://www.wikidata.org/entity/Q22671405
BBB Foods,Q125886451,TBBB,retail,http://www.wikidata.org/entity/Q125886451
BBVA Argentina,Q2876788,BFR,financial services,http://www.wikidata.org/entity/Q2876788
BCE Inc.,Q24525746,BCE,telecommunications,http://www.wikidata.org/entity/Q24525746
BJ's Wholesale Club,Q4835754,BJ,retail,http://www.wikidata.org/entity/Q4835754
BP Prudhoe Bay Royalty Trust,Q4836297,BPT,petroleum industry,http://www.wikidata.org/entity/Q4836297
BRF,Q899097,BRFS,food industry,http://www.wikidata.org/entity/Q899097
BWX Technologies,Q4836852,BWXT,,http://www.wikidata.org/entity/Q4836852
Babcock & Wilcox,Q797609,BW,industrial manufacturing,http://www.wikidata.org/entity/Q797609
Babylon Health,Q24083464,BBLN,health care,http://www.wikidata.org/entity/Q24083464
Bachoco,Q4838903,IBA,food industry,http://www.wikidata.org/entity/Q4838903
